timestamp,cpu_percent,memory_mb,memory_percent,gpu_memory_mb,gpu_percent,temperature_c
1763369435.9635234,100.0,7058.84765625,95.7,0.0,0.0,0.0
1763369436.0927043,100.0,7010.5390625,95.0,0.0,0.0,0.0
1763369436.213217,100.0,7071.43359375,95.8,0.0,0.0,0.0
1763369436.3371134,100.0,7074.84375,95.9,0.0,0.0,0.0
1763369436.4637125,0.0,7068.19140625,95.8,0.0,0.0,0.0
1763369436.591092,0.0,7069.38671875,95.8,0.0,0.0,0.0
1763369436.7165399,0.0,7069.54296875,95.8,0.0,0.0,0.0
1763369436.8429732,0.0,7070.03515625,95.8,0.0,0.0,0.0
1763369436.9682834,100.0,7036.4453125,95.3,0.0,0.0,0.0
1763369437.0916758,0.0,7028.23828125,95.2,0.0,0.0,0.0
1763369437.216051,0.0,7027.7421875,95.2,0.0,0.0,0.0
1763369437.3410645,0.0,7071.81640625,95.8,0.0,0.0,0.0
1763369437.4715075,100.0,7036.21875,95.3,0.0,0.0,0.0
1763369437.598491,100.0,7068.3046875,95.8,0.0,0.0,0.0
1763369437.7183318,0.0,7028.421875,95.2,0.0,0.0,0.0
1763369437.8394644,0.0,7070.47265625,95.8,0.0,0.0,0.0
1763369437.9661045,0.0,7045.8359375,95.5,0.0,0.0,0.0
1763369438.0894084,0.0,7064.73828125,95.7,0.0,0.0,0.0
1763369438.2135563,0.0,6998.7890625,94.8,0.0,0.0,0.0
1763369438.3402784,0.0,7059.765625,95.7,0.0,0.0,0.0
1763369438.4641986,0.0,7028.2578125,95.2,0.0,0.0,0.0
1763369438.5919611,0.0,7006.2890625,94.9,0.0,0.0,0.0
1763369438.7276585,100.0,7045.34375,95.5,0.0,0.0,0.0
1763369438.8406742,0.0,6996.375,94.8,0.0,0.0,0.0
1763369438.967687,0.0,7003.40625,94.9,0.0,0.0,0.0
1763369439.0890954,0.0,6989.80078125,94.7,0.0,0.0,0.0
1763369439.2141025,0.0,6999.53125,94.8,0.0,0.0,0.0
1763369439.346991,100.0,7007.36328125,95.0,0.0,0.0,0.0
1763369439.50163,100.0,7059.75,95.7,0.0,0.0,0.0
1763369439.624283,100.0,7143.62109375,96.8,0.0,0.0,0.0
1763369439.7511494,100.0,7099.53515625,96.2,0.0,0.0,0.0
1763369439.8745756,100.0,7097.0234375,96.2,0.0,0.0,0.0
1763369439.9997447,14.3,7094.80078125,96.1,0.0,0.0,0.0
1763369440.1309457,100.0,7117.26171875,96.4,0.0,0.0,0.0
1763369440.2577593,100.0,7098.76171875,96.2,0.0,0.0,0.0
1763369441.1906435,100.0,7021.69140625,95.1,0.0,0.0,0.0
1763369441.7813706,100.0,7010.5546875,95.0,0.0,0.0,0.0
1763369442.1837497,100.0,6998.3984375,94.8,0.0,0.0,0.0
1763369442.9731598,10.0,6991.140625,94.7,0.0,0.0,0.0
1763369443.0993633,25.0,7012.81640625,95.0,0.0,0.0,0.0
1763369444.1520717,0.0,6998.38671875,94.8,0.0,0.0,0.0
1763369444.4652677,0.0,7000.62890625,94.9,0.0,0.0,0.0
1763369444.69095,0.0,7028.74609375,95.2,0.0,0.0,0.0
1763369444.8409953,100.0,7054.390625,95.6,0.0,0.0,0.0
1763369444.9655252,0.0,6985.66796875,94.7,0.0,0.0,0.0
1763369445.0909574,0.0,7055.97265625,95.6,0.0,0.0,0.0
1763369445.219959,100.0,7056.58984375,95.6,0.0,0.0,0.0
1763369445.3497403,100.0,7054.33203125,95.6,0.0,0.0,0.0
1763369445.4755766,100.0,7049.15234375,95.5,0.0,0.0,0.0
1763369445.6012557,100.0,7004.5703125,94.9,0.0,0.0,0.0
1763369445.7214382,100.0,7055.87890625,95.6,0.0,0.0,0.0
